Time;Status TC1;Internal T TC1;External T TC1;Status TC2;Internal T TC2;External T TC2;Mark
24092023_163848;Working;51.54;29.31;Working;28.75;26.71;0
24092023_163853;Working;53.0;29.3;Working;28.74;26.84;0
24092023_163858;Working;54.5;29.32;Working;28.78;27.0;0
24092023_163903;Working;56.12;29.31;Working;28.76;27.0;0
24092023_163908;Working;57.81;29.34;Working;28.79;27.0;0
24092023_163913;Working;59.27;29.35;Working;27.58;27.0;0
24092023_163918;Working;60.84;29.36;Working;28.8;26.96;0
24092023_163923;Working;62.2;29.36;Working;28.79;26.86;0
24092023_163928;Working;63.42;29.35;Working;28.79;26.82;0
24092023_163933;Working;64.61;29.35;Working;28.79;26.99;0
24092023_163938;Working;65.91;29.38;Working;28.82;27.0;0
24092023_163943;Working;67.34;29.38;Working;28.85;27.0;0
24092023_163948;Working;69.42;29.4;Working;28.88;27.14;0
24092023_163953;Working;71.31;29.43;Working;28.92;27.25;0
24092023_163958;Working;72.88;29.45;Working;28.93;27.25;0
24092023_164003;Working;75.04;29.44;Working;28.93;27.23;0
24092023_164008;Working;77.58;29.45;Working;28.93;27.1;0
24092023_164013;Working;79.41;29.45;Working;28.93;27.1;0
24092023_164018;Working;81.0;29.48;Working;28.95;27.25;0
24092023_164023;Working;83.04;29.5;Working;28.98;27.25;0
24092023_164029;Working;84.56;28.49;Working;28.95;27.25;0
24092023_164034;Working;86.58;29.46;Working;28.92;27.2;0
24092023_164039;Working;88.49;29.43;Working;28.9;27.23;0
24092023_164044;Working;90.65;29.44;Working;28.89;27.16;0
24092023_164049;Working;92.42;29.49;Working;28.92;27.25;0
24092023_164054;Working;94.38;29.49;Working;28.95;27.25;0
24092023_164059;Working;96.42;29.52;Working;29.0;27.25;0
24092023_164104;Working;98.24;29.55;Working;29.03;27.25;0
24092023_164109;Working;99.64;29.56;Working;29.06;27.24;0
24092023_164114;Working;102.06;29.57;Working;29.06;27.25;0
24092023_164119;Working;104.14;29.58;Working;29.06;27.25;0
24092023_164124;Working;106.35;29.57;Working;29.06;27.25;0
24092023_164129;Working;108.21;29.6;Working;29.07;27.25;0
24092023_164134;Working;110.36;29.6;Working;29.09;27.25;0
24092023_164139;Working;112.49;29.6;Working;29.11;27.25;0
24092023_164144;Working;114.47;29.61;Working;29.1;27.25;0
24092023_164149;Working;116.16;29.61;Working;29.09;27.25;0
24092023_164154;Working;118.08;29.61;Working;29.07;27.25;0
24092023_164159;Working;119.51;29.61;Working;29.07;27.25;0
24092023_164204;Working;121.4;29.61;Working;29.09;27.25;0
24092023_164209;Working;123.31;29.6;Working;29.06;27.25;0
24092023_164214;Working;125.24;29.59;Working;29.05;27.24;0
24092023_164219;Working;126.88;29.6;Working;29.04;27.19;0
24092023_164224;Working;129.16;29.6;Working;29.06;27.21;0
24092023_164229;Working;130.86;29.61;Working;29.06;27.23;0
24092023_164234;Working;132.74;29.62;Working;29.07;27.23;0
24092023_164239;Working;134.31;29.62;Working;29.1;27.25;0
24092023_164244;Working;135.82;29.62;Working;29.1;27.25;0
24092023_164249;Working;138.09;29.63;Working;29.1;27.25;0
24092023_164254;Working;139.9;29.62;Working;29.09;27.24;0
24092023_164300;Working;148.66;31.1;Working;29.09;27.2;0
24092023_164305;Working;143.24;29.62;Working;29.07;27.19;0
24092023_164310;Working;144.91;29.61;Working;29.06;27.19;0
24092023_164315;Working;146.94;29.62;Working;29.07;27.19;0
24092023_164320;Working;148.07;29.62;Working;29.06;27.2;0
24092023_164325;Working;150.38;29.62;Working;29.07;27.09;0
24092023_164330;Working;151.97;29.62;Working;29.09;27.23;0
24092023_164335;Working;154.15;29.63;Working;29.12;27.24;0
24092023_164340;Working;156.21;29.65;Working;29.12;27.25;0
24092023_164345;Working;157.93;29.66;Working;29.13;27.25;0
24092023_164350;Working;159.4;29.66;Working;29.12;27.25;0
24092023_164355;Working;160.47;29.64;Working;29.12;27.25;0
24092023_164400;Working;162.76;29.65;Working;29.11;27.23;0
24092023_164405;Working;164.19;29.67;Working;29.12;27.25;0
24092023_164410;Working;166.55;29.67;Working;29.13;27.25;0
24092023_164415;Working;166.75;29.68;Working;29.15;27.25;0
24092023_164420;Working;168.28;29.68;Working;29.17;27.25;0
24092023_164425;Working;169.81;29.66;Working;29.13;27.15;0
24092023_164430;Working;170.74;29.63;Working;29.12;27.15;0
24092023_164435;Working;171.86;29.65;Working;29.12;27.18;0
24092023_164440;Working;173.12;29.65;Working;29.1;27.0;0
24092023_164445;Working;175.81;29.63;Working;29.06;26.93;0
24092023_164450;Working;176.76;29.6;Working;29.02;26.7;0
24092023_164455;Working;178.3;29.57;Working;29.0;26.55;0
24092023_164500;Working;179.81;29.54;Working;29.0;26.74;0
24092023_164506;Working;180.72;29.54;Working;29.0;26.75;0
24092023_164511;Working;182.21;29.54;Working;29.0;26.82;0
24092023_164516;Working;184.7;29.52;Working;28.99;26.85;0
24092023_164521;Working;185.69;29.5;Working;28.94;26.76;0
24092023_164526;Working;186.66;29.5;Working;28.96;26.91;0
24092023_164531;Working;188.43;29.5;Working;28.99;27.0;0
24092023_164536;Working;190.05;29.51;Working;29.0;27.0;0
24092023_164541;Working;191.16;29.52;Working;29.0;27.02;0
24092023_164546;Working;192.04;29.51;Working;28.98;27.01;0
24092023_164551;Working;193.28;29.5;Working;28.97;27.06;0
24092023_164556;Working;193.9;29.49;Working;28.95;27.0;0
24092023_164601;Working;195.39;29.46;Working;28.93;26.98;0
24092023_164606;Working;196.97;29.47;Working;28.93;26.96;0
24092023_164611;Working;198.51;29.47;Working;28.93;27.0;0
24092023_164616;Working;200.46;29.48;Working;28.94;27.02;0
24092023_164621;Working;202.03;29.48;Working;28.94;27.01;0
24092023_164626;Working;202.45;29.49;Working;28.94;27.02;0
24092023_164631;Working;204.3;29.5;Working;28.94;27.0;0
24092023_164636;Working;205.1;29.5;Working;28.94;27.02;0
24092023_164641;Working;206.84;29.51;Working;28.96;27.04;0
24092023_164646;Working;208.34;29.51;Working;28.95;27.09;0
24092023_164651;Working;210.34;29.52;Working;28.99;27.09;0
24092023_164656;Working;211.29;29.51;Working;29.0;27.07;0
24092023_164701;Working;212.64;29.5;Working;28.97;27.02;0
24092023_164706;Working;213.55;29.49;Working;28.93;26.96;0
24092023_164711;Working;214.41;29.47;Working;28.92;27.0;0
24092023_164716;Working;216.05;29.47;Working;28.93;27.0;0
24092023_164721;Working;216.78;29.46;Working;28.92;27.0;0
24092023_164726;Working;217.84;29.45;Working;28.92;27.0;0
24092023_164732;Working;219.09;29.45;Working;28.93;27.0;0
24092023_164737;Working;220.01;29.45;Working;28.92;27.0;0
24092023_164742;Working;221.29;29.44;Working;28.91;27.0;0
24092023_164747;Working;222.45;29.43;Working;28.91;27.0;0
24092023_164752;Working;223.15;29.43;Working;28.91;27.0;0
24092023_164757;Working;224.28;28.43;Working;28.88;27.0;0
24092023_164802;Working;226.0;29.44;Working;28.92;27.0;0
24092023_164807;Working;227.25;29.43;Working;28.91;27.0;0
24092023_164812;Working;227.61;29.45;Working;28.91;27.0;0
24092023_164817;Working;229.14;29.43;Working;28.91;26.79;0
24092023_164822;Working;230.29;29.41;Working;28.87;26.75;0
24092023_164827;Working;231.38;29.39;Working;28.85;26.75;0
24092023_164832;Working;232.84;29.38;Working;28.86;26.88;0
24092023_164837;Working;223.18;29.41;Working;28.88;27.0;0
24092023_164842;Working;233.9;29.41;Working;28.9;27.19;0
24092023_164847;Working;233.96;29.43;Working;28.92;27.25;0
24092023_164852;Working;234.55;29.43;Working;28.93;27.25;0
24092023_164857;Working;235.24;29.43;Working;28.93;27.25;0
24092023_164902;Working;235.81;29.43;Working;28.93;27.09;0
24092023_164907;Working;235.68;29.43;Working;28.92;27.0;0
24092023_164912;Working;235.65;29.43;Working;28.92;27.07;0
24092023_164917;Working;235.93;29.43;Working;28.93;27.24;0
24092023_164922;Working;235.55;29.43;Working;28.93;27.18;0
